id	title	description	google_product_category	product_type	link	image_link	additional_image_link	condition	availability	availability_date	price	brand	mpn	shipping(price)
103LNSA	Cameron Sofa in Sand Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-in-sand-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/103LNSA-content-w.jpg.jpg		new	in stock		999	VOLO	103LNSA	0.00 USD
103LNWHT	Cameron Sofa in White Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	Furniture > Sofas	Furniture > Sofas	http://www.capsulehome.com/cameron-sofa-in-white-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/103LNWHT-content-w.jpg.jpg		new	in stock		999	VOLO	103LNWHT	0.00 USD
104FTGRY	Cameron Armchair in Grey Tweed	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and a complimentary cushion complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-armchair-gray-tweed.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_armchair_grey_front.jpg		new	in stock		599	VOLO	104FTGRY	0.00 USD
104FWLG	Cameron Armchair in Light Grey	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and a complimentary cushion complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-armchair-light-gray.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_armchair_light-grey_front.jpg		new	in stock		599	VOLO	104FWLG	0.00 USD
104LNCH	Cameron Armchair in Charcoal Blue Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-armchair-in-charcoal-blue-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/104LNCH_content_w.jpg.jpg		new	in stock		599	VOLO	104LNCH	0.00 USD
104LNOAT	Cameron Armchair in Oatmeal Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and a complimentary cushion complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-ottoman-oatmeal-linen.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_armchair_front_oatmeal_l2_1.jpg		new	in stock		599	VOLO	104LNOAT	0.00 USD
104LNSA	Cameron Armchair in Sand Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-armchair-in-sand-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/104LNCH_content_w.jpg_1.jpg		new	in stock		599	VOLO	104LNSA	0.00 USD
104LNWHT	Cameron Armchair in White Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs > Arm Chairs"	http://www.capsulehome.com/cameron-armchair-in-white-linen.html	http://www.capsulehome.com/media/catalog/product/1/0/104LNSA_content_w.jpg.jpg		new	in stock		599	VOLO	104LNWHT	0.00 USD
105FTGRY	Cameron Ottoman in Grey Tweed	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home. "	Furniture > Ottomans	Furniture > Ottomans	http://www.capsulehome.com/cameron-ottoman-282.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_ottoman_grey_angle_l2_test.jpg		new	in stock		299	VOLO	105FTGRY	0.00 USD
105FWLG	Cameron Ottoman in Light Grey	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home. "	Furniture > Ottomans	Furniture > Ottomans	http://www.capsulehome.com/cameron-ottoman.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_ottoman_light_gery_angle_l2_test.jpg		new	in stock		299	VOLO	105FWLG	0.00 USD
105LNCH	Cameron Ottoman in Charcoal Blue Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	Furniture > Ottomans	Furniture > Ottomans	#N/A	#N/A		new	in stock		299	VOLO	105LNCH	0.00 USD
105LNOAT	Cameron Ottoman in Oatmeal Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home. "	Furniture > Ottomans	Furniture > Ottomans	http://www.capsulehome.com/cameron-ottoman-oatmeal-linen-223.html	http://www.capsulehome.com/media/catalog/product/c/a/cameron_ottoman_oatmeal_angle_l3_test.jpg		new	in stock		299	VOLO	105LNOAT	0.00 USD
105LNSA	Cameron Ottoman in Sand Linen	"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests complete the look."	Furniture > Ottomans	Furniture > Ottomans	#N/A	#N/A		new	in stock		299	VOLO	105LNSA	0.00 USD
